package,downloads,stars,gallery,description,CRAN
gggap,13028,NA,NA,Streamlined Creation of Segments on the Y-Axis of 'ggplot2' Plots,TRUE
onsvplot,12905,NA,NA,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",TRUE
gghilbertstrings,12753,NA,NA,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,TRUE
ggtrendline,12659,NA,NA,Add Trendline and Confidence Interval to 'ggplot',TRUE
ggtikz,12634,NA,NA,Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot Coordinates,TRUE
ggplate,12621,NA,NA,Create Layout Plots of Biological Culture Plates and Microplates,TRUE
ggcorset,11899,NA,NA,The Corset Plot,TRUE
ggcleveland,11751,NA,NA,Implementation of Plots from Cleveland's Visualizing Data Book,TRUE
ggmatplot,11725,NA,NA,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',TRUE
ggpolar,11403,NA,NA,Dots and Their Connections in Polar Coordinate System,TRUE
ggalignment,10702,NA,NA,Plots 'D&D'-Style Alignment Charts,TRUE
ggDoubleHeat,10658,14,TRUE,A Heatmap-Like Visualization Tool,TRUE
ggsector,10603,4,TRUE,Draw Sectors,TRUE
gamlss.ggplots,10450,NA,NA,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",TRUE
ggpointless,10425,NA,NA,Additional Geometries and Stats for 'ggplot2',TRUE
ggbrain,10093,NA,NA,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,TRUE
ggsurvey,9890,NA,NA,Simplifying 'ggplot2' for Survey Data,TRUE
ggESDA,9576,21,TRUE,Exploratory Symbolic Data Analysis with 'ggplot2',TRUE
ggchangepoint,9495,NA,NA,Combines Changepoint Analysis with 'ggplot2',TRUE
ggDoE,9303,NA,NA,Modern Graphs for Design of Experiments with 'ggplot2',TRUE
ggpcp,9231,1,TRUE,Parallel Coordinate Plots in the 'ggplot2' Framework,TRUE
ggfacto,9070,NA,NA,Graphs for Correspondence Analysis,TRUE
mlbplotR,8971,NA,NA,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",TRUE
ggtea,8899,NA,NA,Palettes and Themes for 'ggplot2',TRUE
ggmugs,8854,NA,NA,Visualization of Multiple Genome-Wide Association Study Summary Statistics,TRUE
ggarrow,8630,54,TRUE,Arrows for 'ggplot2',TRUE
ggtrace,8605,15,TRUE,Trace and Highlight Groups of Data Points,TRUE
ggfixest,8490,NA,NA,Dedicated 'ggplot2' Methods for 'fixest' Objects,TRUE
painbow,8471,NA,NA,"Use XKCD's ""Painbow"" Colormap in ggplot2",TRUE
ggflowchart,8302,88,TRUE,Flowcharts with 'ggplot2',TRUE
ggalign,8089,227,TRUE,A 'ggplot2' Extension for Consistent Axis Alignment,TRUE
ggblend,8009,184,TRUE,Blending and Compositing Algebra for 'ggplot2',TRUE
ggmapinset,7975,36,TRUE,Add Inset Panels to Maps,TRUE
ggsankeyfier,7630,NA,NA,Create Sankey and Alluvial Diagrams Using 'ggplot2',TRUE
ggdaynight,7539,NA,NA,Add Day/Night Patterns to 'ggplot2' Plots,TRUE
gglgbtq,7484,NA,NA,Show Pride on 'ggplot2' Plots,TRUE
legendry,7292,211,TRUE,Extended Legends and Axes for 'ggplot2',TRUE
plotthis,7069,NA,NA,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",TRUE
ggFishPlots,6988,NA,NA,Visualise and Calculate Life History Parameters for Fisheries Science using 'ggplot2',TRUE
ggredist,6795,NA,NA,"Scales, Geometries, and Extensions of 'ggplot2' for Election Mapping",TRUE
oblicubes,6739,20,TRUE,NA,NA
ggsurveillance,6437,NA,NA,Tools for Outbreak Investigation/Infectious Disease Surveillance,TRUE
