# CRAN data generated on: 2025-04-02 11:12:44.077273
package,downloads,description,CRAN
thematic,245511,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",TRUE
tidyEdSurvey,3794,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',TRUE
tidyterra,177535,'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,TRUE
tidytext,4002048,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
tinythemes,2875,Lightweight Repackaging of 'Themes' for 'ggplot2',TRUE
treemapify,1023475,Draw Treemaps in 'ggplot2',TRUE
tvthemes,40676,TV Show Themes and Color Palettes for 'ggplot2' Graphics,TRUE
unhcrthemes,4315,UNHCR 'ggplot2' Theme and Colour Palettes,TRUE
waterfalls,2587261,Create Waterfall Charts using 'ggplot2' Simply,TRUE
xkcd,78878,Plotting ggplot2 Graphics in an XKCD Style,TRUE

